Dataset,Accuracy,Balanced Accuracy
iris,94.66666666666667,94.66666666666667
iris,92.0,92.0
iris,96.0,96.0
iris,97.33333333333334,97.33333333333334
iris,97.33333333333334,97.33333333333334
iris,97.33333333333334,97.33333333333334
iris,96.0,96.0
iris,94.66666666666667,94.66666666666667
iris,94.66666666666667,94.66666666666667
iris,94.66666666666667,94.66666666666667
iris,93.33333333333333,93.33333333333333
iris,89.33333333333333,89.33333333333333
iris,93.33333333333333,93.33333333333333
iris,97.33333333333334,97.33333333333334
iris,96.0,96.0
iris,96.0,96.0
iris,98.66666666666667,98.66666666666667
iris,97.33333333333334,97.33333333333334
iris,88.0,88.0
iris,90.66666666666666,90.66666666666666
iris,90.66666666666666,90.66666666666666
iris,96.0,96.0
iris,98.66666666666667,98.66666666666667
iris,93.33333333333333,93.33333333333333
iris,89.33333333333333,89.33333333333333
iris,93.33333333333333,93.33333333333333
iris,90.66666666666666,90.66666666666666
iris,93.33333333333333,93.33333333333333
iris,96.0,96.0
iris,100.0,100.0
